base	variant	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl_vs_ctl	d2_pnl_vs_ctl	d10_pnl_vs_ctl	d1_pdd_vs_ctl	d2_pdd_vs_ctl	d10_pdd_vs_ctl	d1_pnl_vs_champ	d2_pnl_vs_champ	d10_pnl_vs_champ	d1_pdd_vs_champ	d2_pdd_vs_champ	d10_pdd_vs_champ
r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	dhtr	0	0	711	14349.004231999395	1.1037854487803795	15296.381768001582	0.975990528828398	-57569.30894399533	-0.8723624381952292	-149.12914400003865	-191.45116800003234	-1531.9074640006293	-0.009368269641838678	-0.020625010657575937	-0.006831372302737337	-34.38843200008341	-78.42256800009454	-1827.157344000596	-0.0020287300124379737	0.015456897166353678	-0.009752359029166602
r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	dstr	0	0	711	14349.004231999395	1.1037854487803795	15296.381768001582	0.975990528828398	-57578.70711999534	-0.8723912825886859	-149.12914400003865	-191.45116800003234	-1541.305640000639	-0.009368269641838678	-0.020625010657575937	-0.006860216696194077	-34.38843200008341	-78.42256800009454	-1836.5555200006056	-0.0020287300124379737	0.015456897166353678	-0.009781203422623341
r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	ctl	0	0	712	14316.5690719994	1.0998774005346517	15288.415136001577	0.975155054182059	-57593.42683999534	-0.8725143778496073	0.0	0.0	0.0	0.0	0.0	0.0	-66.82359200007886	-86.38920000009966	-1851.2752400006066	-0.0059367782581658535	0.014621422520014637	-0.009904298683544699
r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	dboth	0	0	712	14316.5690719994	1.0998774005346517	15288.415136001577	0.975155054182059	-57579.50345599536	-0.8724146064122393	0.0	0.0	13.923383999986982	0.0	0.0	9.977143736794591e-05	-66.82359200007886	-86.38920000009966	-1837.3518560006196	-0.0059367782581658535	0.014621422520014637	-0.009804527246176753
r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	dhtr	0	0	712	14316.5690719994	1.0998774005346517	15288.415136001577	0.975155054182059	-57579.50345599536	-0.8724146064122393	0.0	0.0	13.923383999986982	0.0	0.0	9.977143736794591e-05	-66.82359200007886	-86.38920000009966	-1837.3518560006196	-0.0059367782581658535	0.014621422520014637	-0.009804527246176753
r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	dstr	0	0	712	14316.5690719994	1.0998774005346517	15288.415136001577	0.975155054182059	-57593.42683999534	-0.8725143778496073	0.0	0.0	0.0	0.0	0.0	0.0	-66.82359200007886	-86.38920000009966	-1851.2752400006066	-0.0059367782581658535	0.014621422520014637	-0.009904298683544699
r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	ctl	0	0	702	14134.089284999589	1.0689959811914977	15464.436621001867	0.9465017357788106	-58664.810258995145	-0.8777711118586341	0.0	0.0	0.0	0.0	0.0	0.0	-249.3033789998899	89.63228500019068	-2922.658659000408	-0.03681819760131977	-0.014031895883233725	-0.015161032692571519
r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	dboth	0	0	702	14134.089284999589	1.0689959811914977	15464.436621001867	0.9465017357788106	-58653.50916299515	-0.8777216631065271	0.0	0.0	11.301095999995596	0.0	0.0	4.9448752106995286e-05	-249.3033789998899	89.63228500019068	-2911.3575630004125	-0.03681819760131977	-0.014031895883233725	-0.015111583940464524
r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	dhtr	0	0	702	14134.089284999589	1.0689959811914977	15464.436621001867	0.9465017357788106	-58653.50916299515	-0.8777216631065271	0.0	0.0	11.301095999995596	0.0	0.0	4.9448752106995286e-05	-249.3033789998899	89.63228500019068	-2911.3575630004125	-0.03681819760131977	-0.014031895883233725	-0.015111583940464524
r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	dstr	0	0	702	14134.089284999589	1.0689959811914977	15464.436621001867	0.9465017357788106	-58664.810258995145	-0.8777711118586341	0.0	0.0	0.0	0.0	0.0	0.0	-249.3033789998899	89.63228500019068	-2922.658659000408	-0.03681819760131977	-0.014031895883233725	-0.015161032692571519
