SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=False, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_full24_top80.json

exit_pivot tested=100 kept=77 rate=0.5/s
exit_pivot tested=200 kept=157 rate=0.5/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
exit_pivot (seeded exit pivot) — Top by pnl
-------------------------------------------
 1. tr=2046 win= 68.1% pnl=  -46586.5 dd= 47010.6 pnl/dd= -0.99 roi=-46.59% dd%= 47.01% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=1 | PT=0.004 SL=0.012
 2. tr=2214 win= 27.0% pnl=  -46820.5 dd= 51441.2 pnl/dd= -0.91 roi=-46.82% dd%= 51.44% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.006
 3. tr=2220 win= 26.9% pnl=  -47108.4 dd= 51557.3 pnl/dd= -0.91 roi=-47.11% dd%= 51.56% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.006
 4. tr=2087 win= 67.1% pnl=  -47265.5 dd= 48050.5 pnl/dd= -0.98 roi=-47.27% dd%= 48.05% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.004 SL=0.012
 5. tr=2025 win= 50.7% pnl=  -49657.2 dd= 50195.9 pnl/dd= -0.99 roi=-49.66% dd%= 50.20% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.01
 6. tr=2953 win= 60.8% pnl=  -49794.9 dd= 53346.2 pnl/dd= -0.93 roi=-49.79% dd%= 53.35% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.012
 7. tr=2349 win= 61.6% pnl=  -49804.2 dd= 50227.7 pnl/dd= -0.99 roi=-49.80% dd%= 50.23% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.004 SL=0.012
 8. tr=2028 win= 50.5% pnl=  -49839.4 dd= 50378.0 pnl/dd= -0.99 roi=-49.84% dd%= 50.38% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.01
 9. tr=2354 win= 61.5% pnl=  -49941.3 dd= 50364.8 pnl/dd= -0.99 roi=-49.94% dd%= 50.36% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=0 | PT=0.004 SL=0.012
