SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=False, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_full24_tod916_top80.json

exit_pivot tested=100 kept=3 rate=0.5/s
exit_pivot tested=200 kept=35 rate=0.5/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------

exit_pivot (seeded exit pivot) — Top by pnl
-------------------------------------------
 1. tr=1637 win= 65.3% pnl=  -26755.0 dd= 27934.4 pnl/dd= -0.96 roi=-26.76% dd%= 27.93% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.002 SL=0.01
 2. tr=1637 win= 65.3% pnl=  -26755.0 dd= 27934.4 pnl/dd= -0.96 roi=-26.76% dd%= 27.93% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.002 SL=0.01
 3. tr=1602 win= 41.9% pnl=  -26801.2 dd= 30499.9 pnl/dd= -0.88 roi=-26.80% dd%= 30.50% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.004 SL=0.004
 4. tr=1602 win= 41.9% pnl=  -26801.2 dd= 30499.9 pnl/dd= -0.88 roi=-26.80% dd%= 30.50% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.004 SL=0.004
 5. tr=1628 win= 76.3% pnl=  -27541.7 dd= 29182.6 pnl/dd= -0.94 roi=-27.54% dd%= 29.18% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.002 SL=0.01
 6. tr=1574 win= 28.9% pnl=  -27616.4 dd= 31823.2 pnl/dd= -0.87 roi=-27.62% dd%= 31.82% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.003
 7. tr=1616 win= 66.2% pnl=  -27788.5 dd= 28988.6 pnl/dd= -0.96 roi=-27.79% dd%= 28.99% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.002 SL=0.012
 8. tr=1616 win= 66.2% pnl=  -27788.5 dd= 28988.6 pnl/dd= -0.96 roi=-27.79% dd%= 28.99% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.002 SL=0.012
 9. tr=1708 win= 64.2% pnl=  -27949.1 dd= 30082.9 pnl/dd= -0.93 roi=-27.95% dd%= 30.08% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.002 SL=0.008
