SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=True, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_rth_top80.json

exit_pivot tested=100 kept=74 rate=1.6/s
exit_pivot tested=200 kept=153 rate=1.6/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
16. tr=1052 win= 50.2% pnl=  -13227.2 dd= 17123.3 pnl/dd= -0.77 roi=-13.23% dd%= 17.12% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
17. tr=1883 win= 50.5% pnl=  -14109.9 dd= 21621.8 pnl/dd= -0.65 roi=-14.11% dd%= 21.62% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
18. tr=1883 win= 50.5% pnl=  -14125.5 dd= 21635.3 pnl/dd= -0.65 roi=-14.13% dd%= 21.64% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
19. tr=1087 win= 60.3% pnl=  -15626.6 dd= 19041.4 pnl/dd= -0.82 roi=-15.63% dd%= 19.04% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=0.004 SL=0.012
20. tr=1086 win= 60.3% pnl=  -15682.4 dd= 19096.9 pnl/dd= -0.82 roi=-15.68% dd%= 19.10% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=0.004 SL=0.012
21. tr=1246 win= 45.5% pnl=  -16131.7 dd= 19711.1 pnl/dd= -0.82 roi=-16.13% dd%= 19.71% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.006
22. tr=1246 win= 45.5% pnl=  -16143.9 dd= 19723.5 pnl/dd= -0.82 roi=-16.14% dd%= 19.72% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.006
23. tr=1181 win= 58.9% pnl=  -16942.1 dd= 19059.5 pnl/dd= -0.89 roi=-16.94% dd%= 19.06% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=0.004 SL=0.01
24. tr=1181 win= 58.9% pnl=  -16942.1 dd= 19059.5 pnl/dd= -0.89 roi=-16.94% dd%= 19.06% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=0.004 SL=0.01
25. tr=1365 win= 64.0% pnl=  -17457.3 dd= 34473.1 pnl/dd= -0.51 roi=-17.46% dd%= 34.47% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.012
Wrote backtests/slv/slv_exec5m_v35_exit_pivot_seedv25_10m_rth_2y_milestones_20260206_215316.json (238 eligible presets).
